n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilite;observations;date_maj
CNR;Freshmile;Move in Pure;;Bellegarde-Sur-Valserine;7 Place Victor Bérard 01200 Bellegarde-Sur-Valserine;1033;5.82984;46.1088;1;FR*CN1*ENDJF*1;50;T2-ChaDeMo-Combo;Payant : forfait 5€ TTC/45min ( tarif Freshmile) 2,5€ la charge Tarif Badge Nissan;24h/24;"Badge
Navigateur
Téléphone";31/03/2017
CNR;Freshmile;Move in Pure;;Bellegarde-Sur-Valserine;7 Place Victor Bérard 01200 Bellegarde-Sur-Valserine;1033;5.82984;46.1088;1;FR*CN1*ENLRW*1;50;T2-ChaDeMo-Combo;Payant : forfait 5€ TTC/45min ( tarif Freshmile) 2,5€ la charge Tarif Badge Nissan;24h/24;"Badge
Navigateur
Téléphone";31/03/2017
CNR;Freshmile;Move in Pure;;Belley;D107 01300 Belley;1034;5.70583;45.7589;1;FR*CN1*ETFKG*1;50;T2-ChaDeMo-Combo;Payant : forfait 5€ TTC/45min ( tarif Freshmile) 2,5€ la charge Tarif Badge Nissan;24h/24;"Badge
Navigateur
Téléphone";31/03/2017
CNR;Freshmile;Move in Pure;;Belley;D107 01300 Belley;1034;5.70583;45.7589;1;FR*CN1*EREMS*1;50;T2-ChaDeMo-Combo;Payant : forfait 5€ TTC/45min ( tarif Freshmile) 2,5€ la charge Tarif Badge Nissan;24h/24;"Badge
Navigateur
Téléphone";31/03/2017
CNR;Freshmile;Move in Pure;;Saint Vulbas (Plaine de l'Ain);Avenue Charles de Gaulle 01150 Saint-Vulbas;1390;5.28599;45.8374;1;FR*CN1*EKDTE*1;50;T2-ChaDeMo-Combo;Payant : forfait 5€ TTC/45min ( tarif Freshmile) 2,5€ la charge Tarif Badge Nissan;24h/24;"Badge
Navigateur
Téléphone";31/03/2017
CNR;Freshmile;Move in Pure;;Saint Vulbas (Plaine de l'Ain);Avenue Charles de Gaulle 01150 Saint-Vulbas;1390;5.28599;45.8374;1;FR*CN1*ELASG*1;50;T2-ChaDeMo-Combo;Payant : forfait 5€ TTC/45min ( tarif Freshmile) 2,5€ la charge Tarif Badge Nissan;24h/24;"Badge
Navigateur
Téléphone";31/03/2017
CNR;Freshmile;Move in Pure;;Le Pouzin;quai René Révollat 07250 Le Pouzin;7181;4.75021;44.7563;1;FR*CN1*EGFTM*1;50;T2-ChaDeMo-Combo;Payant : forfait 5€ TTC/45min ( tarif Freshmile) 2,5€ la charge Tarif Badge Nissan;24h/24;"Badge
Navigateur
Téléphone";31/03/2017
CNR;Freshmile;Move in Pure;;Le Pouzin;quai René Révollat 07250 Le Pouzin;7181;4.75021;44.7563;1;FR*CN1*EGTTG*1;50;T2-ChaDeMo-Combo;Payant : forfait 5€ TTC/45min ( tarif Freshmile) 2,5€ la charge Tarif Badge Nissan;24h/24;"Badge
Navigateur
Téléphone";31/03/2017
CNR;Freshmile;Move in Pure;;Soyons;Les Freydières Centre Commercial rte Valence 07130 Soyons;7316;4.86094;44.9194;1;FR*CN1*EFLBM*1;50;T2-ChaDeMo-Combo;Payant : forfait 5€ TTC/45min ( tarif Freshmile) 2,5€ la charge Tarif Badge Nissan;24h/24;"Badge
Navigateur
Téléphone";31/03/2017
CNR;Freshmile;Move in Pure;;Soyons;Les Freydières Centre Commercial rte Valence 07130 Soyons;7316;4.86094;44.9194;1;FR*CN1*EGCBV*1;50;T2-ChaDeMo-Combo;Payant : forfait 5€ TTC/45min ( tarif Freshmile) 2,5€ la charge Tarif Badge Nissan;24h/24;"Badge
Navigateur
Téléphone";31/03/2017
