Horodate;Mois;Injection RTE (W);Refoulement RTE (W);Pertes modélisées (W);Consommations totale (W);Consommation HTA télérelevée à courbe de charge (W);Consommation totale profilée (W);Consommation HTA profilée (W);Consommation PME-PMI profilée (W);Consommation professionnelle profilée (W);Consommation résidentielle profilée (W);Production décentralisée totale (W);Production décentralisée télérelevée à courbe de charge (W);Production décentralisée profilée (W);Production photovoltaïque profilée (W);Production autre profilée (W);Température réalisée lissée (°Celcius);Température normale lissée (°Celcius);Production éolienne totale (W);Production photovoltaïque totale (W);Pseudo rayonnement;Consommation HTA totale (W);Soutirage net vers autres GRD (W)
2017-03-01T02:00:00+01:00;3;43701722000.0;4127932000.0;2975963929.0;46510369805.0;10878428145.0;35631941660.0;1500119027.0;4584804655.0;5435252985.0;24111764993.0;10372005644.0;10349988333.0;22017311.0;0.0;99301.0;7.6;7.0;7528034000.0;26333.0;;12378547172.0;459461910.0
2017-03-01T03:00:00+01:00;3;41248221000.0;4092157000.0;2758259485.0;44044326416.0;10891484056.0;33152842360.0;1572260731.0;4879733263.0;5521188880.0;21179659486.0;10075523818.0;10053619000.0;21904818.0;0.0;99301.0;7.6;7.0;7238387000.0;27667.0;;12463744787.0;429001917.0
2017-03-01T08:00:00+01:00;3;52159989000.0;2619103000.0;3786775308.0;53969177022.0;15016061751.0;38953115271.0;2335833760.0;7910908326.0;6303292447.0;22403080738.0;8706506167.0;8546263333.0;160242834.0;138045323.0;99301.0;7.4;6.5;5643610333.0;274123656.0;;17351895511.0;491439836.0
2017-03-01T08:30:00+01:00;3;52585827000.0;2602812000.0;3830067587.0;54744533165.0;15314119126.0;39430414039.0;2327974494.0;8389083506.0;6677583389.0;22035772650.0;9100979738.0;8777194667.0;323785071.0;301203426.0;99301.0;7.5;6.6;5717102000.0;616250759.0;;17642093620.0;509393986.0
2017-03-01T09:00:00+01:00;3;52780786000.0;2674358000.0;3849966908.0;55248823525.0;15442845469.0;39805978056.0;2381383911.0;8719473445.0;7209734223.0;21495386476.0;9505265520.0;9017699333.0;487566187.0;464736347.0;99301.0;7.6;6.6;5803978667.0;948635680.0;;17824229380.0;512903087.0
2017-03-01T11:00:00+01:00;3;52320365000.0;2932663000.0;3803051919.0;55979974198.0;15678122615.0;40301851583.0;2371456080.0;8810710227.0;7755149511.0;21364535766.0;10904694518.0;9718109667.0;1186584851.0;1163846141.0;99301.0;8.2;7.3;6111223667.0;2068413808.0;;18049578695.0;509370400.0
2017-03-01T12:00:00+01:00;3;52266915000.0;3013855000.0;3797623529.0;56303408243.0;15105424757.0;41197983486.0;2147059296.0;7799770069.0;7233888294.0;24017265826.0;11327314439.0;9977817667.0;1349496772.0;1326666908.0;99301.0;8.5;7.8;6162887000.0;2416325241.0;;17252484053.0;479342667.0
2017-03-01T12:30:00+01:00;3;52572554000.0;2979152000.0;3828714627.0;56567952540.0;14846121256.0;41721831284.0;2161910059.0;7367744184.0;6997891545.0;25194285496.0;11293050261.0;9954807000.0;1338243261.0;1315459861.0;99301.0;8.7;8.1;6099837667.0;2434083194.0;;17008031315.0;489785094.0
2017-03-01T14:30:00+01:00;3;49791934000.0;2945342000.0;3550351943.0;53299470835.0;15159583138.0;38139887697.0;2287137745.0;8164226813.0;6751962136.0;20936561003.0;10473054549.0;9418532000.0;1054522549.0;1031872862.0;99301.0;9.2;8.6;5639366333.0;2093308862.0;;17446720883.0;469823770.0
2017-03-01T16:00:00+01:00;3;47674420000.0;3274913000.0;3345146941.0;50823934730.0;14621920399.0;36202014331.0;2258896927.0;8204011175.0;6911240147.0;18827866082.0;10220036851.0;9673361333.0;546675518.0;523732637.0;99301.0;9.5;8.9;6204617000.0;1256884970.0;;16880817326.0;450462180.0
