"Norme/Schema";"Identifiant unique/UUID";"Titre/Title";"Description";"Provenance/Lineage";"Parent";"Catégorie/Category";"Mot-clé/Keyword";"Date de publication/Date submitted";"Fréquence de mise à jour/Update frequency";"Couverture territoriale/Geo Box";"Type";"Organisation/Responsible Party";"Licence/Legal constraints"
"iso19139";"f3ae088d-b692-4c39-9476-002f501ffb67";"Orthophotographie 2012 du Grand Lyon - Dalle 1855_5180_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"4.99424,5.0602,45.80259,45.84642";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"44c282ca-a0c5-48c1-9563-06c9119a518f";"Orthophotographie 2012 du Grand Lyon - Dalle 1855_5155_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"4.98622,5.05191,45.5957,45.62155";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"200d5297-f220-4997-835e-a744b2a29d2b";"Orthophotographie 2012 du Grand Lyon - Dalle 1860_5155_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"5.05026,5.116,45.59456,45.62037";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"35a75c10-1de2-4eb5-9941-f9d9d54de4f6";"Orthophotographie 2012 du Grand Lyon - Dalle 1850_5175_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"4.92837,4.99424,45.75872,45.80259";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"63f020e7-2b39-47c6-8e4d-d70827dcf0fe";"Orthophotographie 2009 du Grand Lyon - Dalle 1850_5180_16_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.16 m Existe également en TIF (dalles de 1 km²), et en clichés.";"Prise de vue par caméra numérique, en été 2009.";"cd104534-0adb-4629-b765-75916d74bd56";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2010-04-05";"";"4.92993,4.99585,45.80369,45.84756";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"e90007af-31f3-419b-8c82-4d39bba4223e";"Orthophotographie 2012 du Grand Lyon - Dalle 1850_5155_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"4.92217,4.98781,45.5968,45.62269";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"11e93623-73be-42ac-9ad6-d248ae762271";"Orthophotographie 2012 du Grand Lyon - Dalle 1860_5170_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"5.05522,5.12112,45.71149,45.75529";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"cff77184-f9d0-4500-bead-c5535417ef61";"Orthophotographie 2009 du Grand Lyon - Dalle 1850_5175_16_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.16 m Existe également en TIF (dalles de 1 km²), et en clichés.";"Prise de vue par caméra numérique, en été 2009.";"cd104534-0adb-4629-b765-75916d74bd56";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2010-04-05";"";"4.92837,4.99423,45.75872,45.80259";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"1d5d1f67-860b-4f66-afcc-d01551e802ec";"Orthophotographie 1997 du Grand Lyon";"Orthophotographies au format ECW  vue d'ensemble. Les pixels de 0.16 m ont été agrégés à 0.5, 1 et 2 m.Existe en TIF, en dalles de 1 km².Les fichiers scan des clichés sont archivés.";"Prise de vue par caméra argentique, en été 1997.";"";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"1997-07-30 2012-06-26 1998-06-01";"";"4.677,5.162,45.588,45.923";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"8b0da365-7ac5-4db2-a35f-8cdc7d58507f";"Orthophotographie 2012 du Grand Lyon - Dalle 1860_5180_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"5.05854,5.11168,45.80144,45.84523";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"1cf5f01a-c984-4e0b-9421-1f380bb1f66b";"Orthophotographie 2009 du Grand Lyon - Dalle 1845_5175_16_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.16 m Existe également en TIF (dalles de 1 km²), et en clichés.";"Prise de vue par caméra numérique, en été 2009.";"cd104534-0adb-4629-b765-75916d74bd56";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2010-04-05";"";"4.86412,4.92993,45.75979,45.80369";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"a20e814f-c9f6-42d5-b2d6-a7420320c414";"Orthophotographie 2009 du Grand Lyon - Dalle 1840_5175_16_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.16 m Existe également en TIF (dalles de 1 km²), et en clichés.";"Prise de vue par caméra numérique, en été 2009.";"cd104534-0adb-4629-b765-75916d74bd56";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2010-04-05";"";"4.79986,4.86562,45.76082,45.80477";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"e23af3c3-ee61-4f6e-b6be-0318fcc1f08f";"Orthophotographie 2009 du Grand Lyon - Dalle 1840_5165_16_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.16 m Existe également en TIF (dalles de 1 km²), et en clichés.";"Prise de vue par caméra numérique, en été 2009.";"cd104534-0adb-4629-b765-75916d74bd56";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2010-04-05";"";"4.79696,4.86262,45.67087,45.71481";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"b7f4ed0d-34b8-4e22-97df-ca02774445e8";"Orthophotographie 2012 du Grand Lyon - Dalle 1835_5180_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"4.737,4.80277,45.8068,45.85078";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"6ef332e9-00c9-41c2-9d59-f80ac1519135";"Orthophotographie 2012 du Grand Lyon - Dalle 1855_5160_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"4.98781,5.05356,45.62269,45.66652";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"ce738359-30f4-4135-b8ff-175756e78537";"Orthophotographie 2012 du Grand Lyon - Dalle 1850_5160_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"4.92217,4.98781,45.62379,45.66766";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"0b844d75-81f7-4d90-9aeb-0ba7dacc42d9";"Orthophotographie 2012 du Grand Lyon - Dalle 1845_5180_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"4.86562,4.93149,45.80477,45.84867";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"9873a551-9dc5-4dfb-bd4f-9d845059b995";"Orthophotographie 2012 du Grand Lyon - Dalle 1850_5185_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"4.93149,4.99746,45.84867,45.88354";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"80489b0c-aa60-4e64-b135-27746af11f87";"Orthophotographie 2012 du Grand Lyon - Dalle 1845_5170_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"4.86262,4.92837,45.71481,45.75872";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"b1749709-32d2-4eb2-a453-eb6ef056d23a";"Orthophotographie 2012 du Grand Lyon - Dalle 1865_5155_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"5.1143,5.16727,45.59338,45.61915";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"c35b423c-9a26-4518-8552-39c571a9cbc3";"Orthophotographie 2012 du Grand Lyon - Dalle 1835_5150_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"4.72863,4.79407,45.54592,45.58091";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"4553ba9d-b9bd-4b6b-9658-baf493ca7c8d";"Orthophotographie 2012 du Grand Lyon - Dalle 1860_5165_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"5.05356,5.11941,45.66652,45.71032";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"f3d1e7b1-e92d-497c-bc7d-5f951ded0a4a";"Orthophotographie 2012 du Grand Lyon - Dalle 1865_5170_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"5.11941,5.17252,45.71032,45.75432";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"b725749c-d655-4470-a808-87af7c3a0ee0";"Orthophotographie 2012 du Grand Lyon - Dalle 1855_5175_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"4.99263,5.05854,45.75761,45.80144";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"27082627-e58a-4af7-9fd9-11958381b9e2";"Orthophotographie 2012 du Grand Lyon - Dalle 1845_5185_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"4.86713,4.93305,45.84974,45.89365";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"acbb455b-3209-4a3a-9069-598222714bb2";"Orthophotographie 2009 du Grand Lyon - Dalle 1860_5160_16_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.16 m Existe également en TIF (dalles de 1 km²), et en clichés.";"Prise de vue par caméra numérique, en été 2009.";"cd104534-0adb-4629-b765-75916d74bd56";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2010-04-05";"";"5.05191,5.10535,45.62155,45.66534";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"6cfdd8b5-7aef-4b7c-bae6-17918638e1b1";"Estimation du nombre de jours de dépassement de la valeur limite (50µg.m-3) des PM10 en 2013";"Image géo-référencée de la qualité de l'air, qui renseigne sur le nombre de jours de dépassement des PM 10 sur le territoire du Grand Lyon en 2013. L'interpolation effectuée à partir des données modélisées et le choix des couleurs sont codifiés. Image au format Tiff avec fichiers de géoréférencement Twf et Tab ; projection RGF93 Lambert 93 (EPSG:2154) ; la taille des pixels est de 10 m.";"Source : Air Rhône-Alpes 2013.rf.aL'interpolation effectuée à partir des données modélisées et le choix des couleurs sont codifiés.Modélisation avec assimilation des résultats de mesures terrain.";"";"Santé et sécurité des personnes";"Santé et sécurité des personnes,Conditions atmosphériques,pollution de l'air,qualité de l'air,données ouvertes";"2014-05-01 2015-05-01";"annually";"4.681,5.067,45.55,45.917";"dataset";"ATMO Auvergne-Rhône-Alpes";"Licence Ouverte";
"iso19139";"490e8fd8-e275-4277-b64b-380b29d06461";"Estimation de la valeur AOT40 Ozone (valeur cible pour la protection de la végétation) en 2013";"Image géo-référencée de la qualité de l'air, qui renseigne sur la valeur de l'AOT40 sur le territoire du Grand Lyon en 2013. L'interpolation effectuée à partir des données modélisées et le choix des couleurs sont codifiés. Image au format Tiff avec fichiers de géoréférencement Twf et Tab ; projection RGF93 Lambert 93 (EPSG:2154) ; la taille des pixels est de 100 m.";"Source : Air Rhône-Alpes 2013.r.aL'interpolation effectuée à partir des données modélisées et le choix des couleurs sont codifiés.Modélisation avec assimilation des résultats de mesures terrain.";"";"Santé et sécurité des personnes";"Santé et sécurité des personnes,Conditions atmosphériques,qualité de l'air,pollution de l'air,données ouvertes";"2014-05-01 2015-05-01";"annually";"4.681,5.067,45.55,45.917";"dataset";"ATMO Auvergne-Rhône-Alpes";"Licence Ouverte";
"iso19139";"c7443c0d-493f-4a2b-94f2-7119f69443ee";"Orthophotographie 2012 du Grand Lyon - Dalle 1845_5155_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"4.85812,4.92372,45.57988,45.62379";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"f4a50314-1697-46c0-8cd3-c5ca286c3f0c";"Orthophotographie 2012 du Grand Lyon - Dalle 1845_5175_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"4.86412,4.92993,45.75979,45.80369";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"66835d5b-fffc-4b7f-b7f0-2658c6ccead4";"Orthophotographie 2012 du Grand Lyon - Dalle 1830_5155_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"4.69158,4.73141,45.58287,45.62689";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"006b5099-6a2e-48d6-b63c-14c0d16a1d54";"Orthophotographie 2012 du Grand Lyon - Dalle 1855_5165_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"4.98942,5.05522,45.66766,45.71149";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"4351a45f-61f8-40fb-be94-33a7a0f2d455";"Orthophotographie 2002 du Grand Lyon";"Pseudo-orthophotographies en noir et blanc, au format ECW (Vue d'ensemble) . Les pixels de 0.20 m ont été agrégés à 0.6 m.Existe en TIF (dalles de 1 km²) selon le quadrillage Lambert 2";"Prise de vue par caméra argentique, au printemps 2002.";"";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2002-12-02 2012-06-26 2002-10-01";"";"4.663,5.179,45.588,45.917";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
"iso19139";"56a20829-837d-4fc0-a982-10d2c8b17bf2";"Orthophotographie 2012 du Grand Lyon - Dalle 1840_5170_10cm_CC46";"Orthophotographies au format ECW, en dalles de taille 25 km² (sauf en bordure de zone), selon le quadrillage RGF93 CC46, pixels de 0.10 m.";"Prise de vue par caméra numérique, en mars-avril 2012.";"a5aef8c7-002a-4dd5-a985-39f8f4f69265";"Ortho-imagerie";"Ortho-imagerie,données ouvertes";"2013-12-02";"";"4.79841,4.86412,45.71585,45.75979";"dataset";"Métropole de Lyon / Direction Innovation Numérique et Systèmes d'Information (DINSI)";"Licence Ouverte";
