Etablissement;Adresse;"Code postal";Ville;"url du site";"borne connectée / déconnectée";icone;"Latitude longitude"
"Pôle Numérique";"1 Avenue de la Gare";26300;Alixan;http://www.pole-numerique.fr;Vrai;http://map.cigale-hotspot.fr/img/cigale_connected_40.png;"{""type"":""Point"",""coordinates"":[4.9770323,44.9899753]}"
"Office de Tourisme du Pays de la Forêt de Saoû";"7, Place de l'eglise";26400;Saou;http://www.paysforetdesaou-tourisme.com;Vrai;http://map.cigale-hotspot.fr/img/cigale_connected_40.png;"{""type"":""Point"",""coordinates"":[5.0622,44.646736]}"
"Gite Le balcon du Vercors";"Lieu-dit : La Madone";26420;"Saint Julien en vercors";;Vrai;http://map.cigale-hotspot.fr/img/cigale_connected_40.png;"{""type"":""Point"",""coordinates"":[5.460505,45.027839]}"
"Domaine de Montine";"Hameau de la Grande Tuiliere";26230;GRIGNAN;http://www.domaine-de-montine.com/;Vrai;http://map.cigale-hotspot.fr/img/cigale_connected_40.png;"{""type"":""Point"",""coordinates"":[4.9291724,44.4156579]}"
"Auberge de la Valloire";"205 route de la gare";26210;Epinouze;http://www.aubergedelavalloire.sitew.com/#Nouveautes_.E;Vrai;http://map.cigale-hotspot.fr/img/cigale_connected_40.png;"{""type"":""Point"",""coordinates"":[4.9336892,45.3046307]}"
"Auberge de la Valloire";"205 route de la gare";26210;Epinouze;http://www.aubergedelavalloire.sitew.com/#Nouveautes_.E;Vrai;http://map.cigale-hotspot.fr/img/cigale_connected_40.png;"{""type"":""Point"",""coordinates"":[4.9336892,45.3046307]}"
"TONDUT Jacques";"Les Barris";26140;Albon;www.lepreauxanes.com;Vrai;http://map.cigale-hotspot.fr/img/cigale_connected_40.png;"{""type"":""Point"",""coordinates"":[4.858688,45.253489]}"
"Camping Municipal Les Biaux";"Allee du 10 Aout 1944";26560;Sederon;;Vrai;http://map.cigale-hotspot.fr/img/cigale_connected_40.png;"{""type"":""Point"",""coordinates"":[5.53806934,44.2017224]}"
"Mairie de Loriol";"Grande Rue";26270;Loriol-sur-Drome;http://www.loriol.com;Vrai;http://map.cigale-hotspot.fr/img/cigale_connected_40.png;"{""type"":""Point"",""coordinates"":[4.822234,44.751819]}"
"Place du marche";"Place du marche";26130;Saint-Paul-Trois-Chateaux;http://www.ville-saintpaultroischateaux.fr/;Faux;http://map.cigale-hotspot.fr/img/cigale_disconnected_40.png;"{""type"":""Point"",""coordinates"":[4.76767,44.348772]}"
"Agence de Développement Touristique de la Drôme";"8, rue Baudin";26000;Valence;http://www.ladrometourisme.com;Vrai;http://map.cigale-hotspot.fr/img/cigale_connected_40.png;"{""type"":""Point"",""coordinates"":[4.897362,44.933287]}"
"Chambre d'hôtes l'épicerie";"55 avenue du Vercors";26190;"Ste Eulalie en Royans";http://www.chambres-hote-epicerie.com;Faux;http://map.cigale-hotspot.fr/img/cigale_disconnected_40.png;"{""type"":""Point"",""coordinates"":[5.344709,45.046387]}"
"Office de Tourisme du Pays du Royans";"Place de la Fontaine de Thais, Parvis de l'Aqueduc";26190;St-Nazaire-en-Royans;http://www.royans.com/;Vrai;http://map.cigale-hotspot.fr/img/cigale_connected_40.png;"{""type"":""Point"",""coordinates"":[5.2463,45.060267]}"
