"_IDOBJ","NOM_COMPLET","LIBTYPE","COMMUNE","ADRESSE","TELEPHONE","SITE_WEB","TWITTER","CODE_POSTAL","location","PRESENTATION","CAPACITE_VOITURE","CAPACITE_PMR","CAPACITE_VEHICULE_ELECTRIQUE","CAPACITE_VELO","SERVICE_VELO","STATIONNEMENT_VELO","STATIONNEMENT_VELO_SECURISE","AUTRES_SERVICE_MOB_PROX","SERVICES","MOYEN_PAIEMENT","CONDITIONS_D_ACCES","EXPLOITANT"
"1341","P+R tramway Recteur Schmitt 1","Ouvrage","Nantes","Rue Recteur Schmitt","02 40 44 44 44","http://www.tan.fr","https://twitter.com/taninfos?lang=fr","44300","[ 47.2517232112064 , -1.55288551286717]","Parc-relais en ouvrage avec contrôle d'accès. Ouverture du lundi au samedi de 6h à 22h et fermeture les dimanches et jours fériés.Mode d'emploi : stationnez votre véhicule et achetez votre titre de transport au distributeur en station de Tramway, Busway ou auprès de l'agent Tan. A votre retour, la sortie est contrôlée par un agent Tan présent sur place ou par lecture du code-barres au dos de chaque titre de transport.","96","4","0","0","","NON","NON","Station Tramway Ligne 2 ""Recteur Schmitt""","","","Titre de transport","TAN"
"3188","P+R tramway Frachon","Enclos","St-Herblain","Boulevard Salvador Allende","","http://www.nantesmetropole.fr/","","44800","[ 47.218684226520494 , -1.62161314709884]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","156","0","","10","","OUI","NON","Station Tramway Ligne 1 ""Frachon""","","","Libre","Nantes Métropole"
"3189","P+R tramway Le Cardo","Ouvrage","Orvault","Esplanade du Cardo","02 40 44 44 44","http://www.tan.fr","https://twitter.com/taninfos?lang=fr","44700","[ 47.26248970783529 , -1.5844938485542999]","Parc-relais en ouvrage avec contrôle d'accès. Ouverture du lundi au samedi de 6h à 22h et fermeture les dimanches et jours fériés.Mode d'emploi : stationnez votre véhicule et achetez votre titre de transport au distributeur en station de Tramway, Busway ou auprès de l'agent Tan. A votre retour, la sortie est contrôlée par un agent Tan présent sur place ou par lecture du code-barres au dos de chaque titre de transport.","200","4","0","14","","OUI","OUI","Station Tramway Ligne 2 ""Le Cardo""","Vidéosurveillance, Interphonie sur la borne de sortie du parc.","","Titre de transport","TAN"
"3190","P+R tramway François Mitterrand","Ouvrage","St-Herblain","Rue Virginia Woolf","02 40 44 44 44","http://www.tan.fr","https://twitter.com/taninfos?lang=fr","44800","[ 47.221694139182496 , -1.63946359102115]","Parc-relais en ouvrage avec contrôle d'accès. Ouverture du lundi au samedi de 6h à 22h et fermeture les dimanches et jours fériés.Mode d'emploi : stationnez votre véhicule et achetez votre titre de transport au distributeur en station de Tramway, Busway ou auprès de l'agent Tan. A votre retour, la sortie est contrôlée par un agent Tan présent sur place ou par lecture du code-barres au dos de chaque titre de transport.","210","10","","36","Pompe à vélo","OUI","OUI","Station Tramway Ligne 1 ""François Mitterrand""","Stationnement vélo en consignes individuelles, Vidéosurveillance, Interphonie sur la borne de sortie du parc.","","Titre de transport","TAN"
"3191","P+R tramway Recteur Schmitt 2","Enclos","Nantes","Rue Recteur Schmitt","","http://www.nantesmetropole.fr/","","44300","[ 47.2520156562612 , -1.5524528114157399]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","47","2","","18","","OUI","OUI","Station Tramway Ligne 2 ""Recteur Schmitt""","Stationnement vélo en consignes individuelles","","Libre","Nantes Métropole"
"3192","P+R tramway La Beaujoire","Libre","Nantes","Rue Colette","02 40 44 44 44","http://www.tan.fr","https://twitter.com/taninfos?lang=fr","44300","[ 47.259483129409396 , -1.52666421892275]","Parc-relais en enclos accessible 24h/24 et 7j/7, avec contrôle d'accès de 6h à 22h du lundi au samedi. Mode d'emploi : stationnez votre véhicule et achetez votre titre de transport au distributeur en station de Tramway, Busway. A votre retour, la sortie est contrôlée par lecture du code-barres au dos de chaque titre de transport.","382","8","0","14","","OUI","OUI","Station Tramway Ligne 1 ""Beaujoire""","Stationnement vélo en consignes individuelles, Vidéosurveillance, Interphonie","","Titre de Transport","TAN"
"3194","P+R tramway 8 Mai","Ouvrage","Rezé","Avenue André Malraux","02 40 44 44 44","http://www.tan.fr","https://twitter.com/taninfos?lang=fr","44400","[ 47.190022786122796 , -1.55142057396223]","Parc-relais en ouvrage avec contrôle d'accès. Ouverture du lundi au samedi de 6h à 22h et fermeture les dimanches et jours fériés.Mode d'emploi : stationnez votre véhicule et achetez votre titre de transport au distributeur en station de Tramway, Busway ou auprès de l'agent Tan. A votre retour, la sortie est contrôlée par un agent Tan présent sur place ou par lecture du code-barres au dos de chaque titre de transport.","203","6","","20","Pompe à vélo","OUI","NON","Station Tramway Ligne 3 "" 8 Mai""","Vidéosurveillance, Interphonie sur la borne de sortie du parc.","","Titre de transport","TAN"
"3195","P+R tramway Trocardière","Enclos","Rezé","Avenue Léon Blum","","http://www.nantesmetropole.fr/","","44400","[ 47.1832817308922 , -1.57107610108729]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","288","7","","16","","OUI","OUI","Station Tramway Ligne 3 ""Trocardière""","Stationnement vélo en consignes individuelles","","Libre","Nantes Métropole"
"3196","P+R tramway René Cassin","Enclos","Nantes","Route de la Chapelle Sur Erdre","","http://www.nantesmetropole.fr/","","44300","[ 47.263938562673395 , -1.5749800531462]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","65","2","0","10","","OUI","OUI","Station Tramway Ligne 2 ""René Cassin""","Stationnement vélo en consignes individuelles.","","Libre","Nantes Métropole"
"3197","P+R tramway Pirmil","Enclos","Nantes","Rue Esnoult des Châtelets","","http://www.nantesmetropole.fr/","","44200","[ 47.1972022869382 , -1.54142986638709]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","222","0","0","56","Pompe à vélo","OUI","OUI","Station Tramway Lignes 2 et 3 ""Pirmil""","Stationnement en consignes individuelles","","Libre","Nantes Métropole"
"3198","P+R tramway Goudy","Libre","Nantes","Rue Gabriel Goudy","02 40 44 44 44","http://www.tan.fr","https://twitter.com/taninfos?lang=fr","44200","[ 47.1960879618228 , -1.54102921684205]","Parc-relais en enclos accessible 24h/24 et 7j/7, avec contrôle d'accès de 6h à 22h du lundi au samedi. Mode d'emploi : stationnez votre véhicule et achetez votre titre de transport au distributeur en station de Tramway, Busway. A votre retour, la sortie est contrôlée par lecture du code-barres au dos de chaque titre de transport.","200","4","0","24","","OUI","NON","Station Tramway Lignes 2 et 3 ""Pirmil""","Stationnement vélo abrité, Vidéosurveillance, Interphonie sur la borne de sortie du parc.","","Titre de Transport","TAN"
"3200","P+R TER Frêne Rond","Enclos","St-Sébastien-sur-Loire","Rue de l'Ouche Quinet","","http://www.nantesmetropole.fr/","","44230","[ 47.190612297664394 , -1.4961684677015998]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","54","7","0","30","","OUI","OUI","Halte Ferroviaire de St Sébastien ""Frêne Rond"" :Ligne Nantes-Vertou, Ligne Nantes-La Roche s/ Yon-Les Sables d'Olonne, Ligne Nantes- Cholet","Box vélo sécurisé, Distributeur de titre de transport TER & TAN.","","Libre","Nantes Métropole"
"3201","P+R TER Gare de Vertou Nord","Enclos","Vertou","Impasse de la Gare","","http://www.nantesmetropole.fr/","","44120","[ 47.186392050146395 , -1.47914484903789]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","156","5","0","16","","OUI","NON","Gare TER de Vertou : Ligne Nantes-Vertou, Ligne Nantes-La Roche s/ Yon-Les Sables d'Olonne, Ligne Nantes- Cholet","Abris Vélo, Distributeur de titre de transport TER & TAN. Guichet SNCF (voir horaires sur http://www.ter-sncf.com)","","Libre","Nantes Métropole"
"3202","P+R TER Gare de Vertou Sud","Enclos","Vertou","Rue du Bois Rigaud","","http://www.nantesmetropole.fr/","","44120","[ 47.1856727117889 , -1.47855497218246]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","55","5","0","30","","OUI","OUI","Gare TER de Vertou :Ligne Nantes-Vertou, Ligne Nantes-La Roche s/ Yon-Les Sables d'Olonne, Ligne Nantes- Cholet","Abris Vélo, Distributeur de titre de transport TER & TAN. Guichet SNCF (voir horaires sur http://www.ter-sncf.com)","","Libre","Nantes Métropole"
"3227","P+R tramway Plaisance","Enclos","St-Herblain","Route de Vannes","","http://www.nantesmetropole.fr/","","44800","[ 47.240520581183894 , -1.59342158499617]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","86","2","0","9","","OUI","NON","Station Tramway Ligne 3 ""Plaisance""","Abri vélos","","Libre","Nantes Métropole"
"3552","P+R TER Gare des Pas Enchantés","Enclos","St-Sébastien-sur-Loire","Rue de la Loire","","http://www.nantesmetropole.fr/","","44230","[ 47.2082180568437 , -1.51297893312661]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","81","6","0","36","","OUI","OUI","Halte Ferroviaire de St Sébastien ""Pas Enchantés"" :Ligne Nantes-Vertou, Ligne Nantes-La Roche s/ Yon-Les Sables d'Olonne, Ligne Nantes- Cholet","Abris Vélo, Distributeur de titre de transport TER & TAN.","","Libre","Nantes Métropole"
"3556","P+R TER Gare de Couëron","Enclos","Couëron","Rue de la Gare","","http://www.nantesmetropole.fr/","","44220","[ 47.2217645705732 , -1.72361537612776]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","30","0","0","12","","OUI","NON","Gare TER de Couëron : Ligne Nantes-St Nazaire-Le CroisicLigne Nantes-Redon-Rennes","Abri vélos, Distributeur de titre de transport TER & TAN.","","Libre","Nantes Métropole"
"3558","P+R tramway Neustrie 2","Libre","Bouguenais","Rue de la Neustrie","02 40 44 44 44","http://www.tan.fr","https://twitter.com/taninfos?lang=fr","44340","[ 47.1766613543902 , -1.5933795289386]","Parc-relais en enclos accessible 24h/24 et 7j/7, avec contrôle d'accès de 6h à 22h du lundi au samedi. Mode d'emploi : stationnez votre véhicule et achetez votre titre de transport au distributeur en station de Tramway, Busway. A votre retour, la sortie est contrôlée par lecture du code-barres au dos de chaque titre de transport.","150","4","0","0","","NON","NON","Station Tramway Ligne 3 ""Neustrie""","Vidéosurveillance, Interphonie sur la borne de sortie du parc.","","Titre de transport","TAN"
"3560","P+R navibus Trentemoult-Roquios","Enclos","Rezé","Quai Surcouf","","http://www.nantesmetropole.fr/","","44400","[ 47.1952412614684 , -1.5777643405325799]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","48","2","0","12","","OUI","OUI","Navibus Loire","Consignes vélos individuelles","","Libre","Nantes Métropole"
"3561","P+R TER Gare de Basse-Indre Sud","Enclos","St-Herblain","Rue de la Gare","","http://www.nantesmetropole.fr/","","44800","[ 47.204146020423096 , -1.6610164864451498]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","57","2","0","0","","NON","NON","Gare TER de Basse-Indre - St-Herblain :Ligne Nantes-St Nazaire-Le Croisic,Ligne Nantes-Redon-Rennes","Distributeur de titre de transport TER & TAN.","","Libre","Nantes Métropole"
"3564","P+R TER de Thouaré-sur_Loire","Enclos","Thouaré-sur-Loire","Rue des Ponts","","http://www.nantesmetropole.fr/","","44470","[ 47.2647003482463 , -1.44137463139397]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","117","3","0","36","Pompe à vélo","OUI","OUI","Gare TER de Thouaré :Ligne Nantes-Angers","Abri vélos, Distributeur de titre de transport TER & TAN.","","Libre","Nantes Métropole"
"3562","P+R tramway Neustrie 1","Libre","Bouguenais","Chemin de la Neustrie","02 40 44 44 44","http://www.tan.fr","https://twitter.com/taninfos?lang=fr","44340","[ 47.1754421578477 , -1.59307631305622]","Parc-relais en enclos accessible 24h/24 et 7j/7, avec contrôle d'accès de 6h à 22h du lundi au samedi. Mode d'emploi : stationnez votre véhicule et achetez votre titre de transport au distributeur en station de Tramway, Busway. A votre retour, la sortie est contrôlée par lecture du code-barres au dos de chaque titre de transport.","127","3","0","22","Pompe à vélo","OUI","OUI","Station Tramway Ligne 3 ""Neustrie""","Stationnement vélo abrité et consignes individuelles, Vidéosurveillance, Interphonie sur la borne de sortie du parc.","","Titre de transport","TAN"
"3565","P+R TER Gare de Mauves-sur-Loire","Enclos","Mauves-sur-Loire","2 Place de la Gare","","http://www.nantesmetropole.fr/","","44470","[ 47.293246404314694 , -1.38889179718294]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","92","2","0","12","Pompe à vélo","OUI","OUI","Gare TER de Mauves :Ligne Nantes-Angers","Stationnement vélo en consignes individuelles, Distributeur de titre de transport TER & TAN.","","Libre","Nantes Métropole"
"3566","P+R TER Gare de Bouaye","Enclos","Bouaye","Allée Louis Armand","","http://www.nantesmetropole.fr/","","44830","[ 47.1383110998017 , -1.68255274657]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","142","3","0","29","Pompe à vélo","OUI","OUI","Gare TER de Bouaye :Ligne Nantes-Ste Pazanne-PornicLigne Nantes-Challans-St Gilles Croix de VieLigne Nantes-St Jean de Monts","Abri vélos, Distributeur de titre de transport TER & TAN. Guichet SNCF (voir horaires sur http://www.ter-sncf.com)","","Libre","Nantes Métropole"
"3582","P+R navibus Trentemoult-Dépôt","Enclos","Rezé","Rue Ordronneau","","http://www.nantesmetropole.fr/","","44400","[ 47.191953767184195 , -1.5806679878445498]","Parc-relais accessible 24h/24 et 7j/7 sans contrôle d'accès.","88","0","0","0","","NON","NON","Navibus Loire","","","Libre","Nantes Métropole"
