"_IDOBJ","NOM_COMPLET","LIBELLE_GRILLE_TARIF","DATE_DEBUT","TYPE_TARIF","LIBELLE_TARIF","MODE_EMPLOI","MONTANT"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 6h40 à 6h50","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","8.7"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 6h30 à 6h40","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","8.5"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 6h20 à 6h30","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","8.3"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 6h10 à 6h20","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","8.1"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 6h00 à 6h10","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","8.0"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 5h50 à 6h00","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","7.8"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 5h40 à 5h50","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","7.7"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 5h30 à 5h40","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","7.6"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 5h20 à 5h30","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","7.5"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 5h10 à 5h20","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","7.4"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 5h00 à 5h10","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","7.3"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 4h50 à 5h00","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","7.0"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 4h40 à 4h50","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","6.9"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 4h30 à 4h40","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","6.8"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 4h20 à 4h30","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","6.7"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 4h10 à 4h20","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","6.6"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 4h00 à 4h10","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","6.5"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 3h50 à 4h00","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","6.4"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif forfait par jour (entrées et sorties multiples)","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","15.2"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif * au-delà de 3h00","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","3.0"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif * 2h50 à 3h00","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","3.0"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif * 2h40 à 2h50","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","2.9"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif * 2h30 à 2h40","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","2.8"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif * de 2h20 à 2h30","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","2.6"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 2h50 à 3h00","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","5.5"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 2h40 à 2h50","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","5.4"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 2h30 à 2h40","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","5.3"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 2h20 à 2h30","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","5.1"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 2h10 à 2h20","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","4.8"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 2h00 à 2h10","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","4.6"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 1h50 à 2h00","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","4.3"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 1h40 à 1h50","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","4.1"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 1h30 à 1h40","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","3.9"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 1h20 à 1h30","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","3.5"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 1h10 à 1h20","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","3.2"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 1h00 à 1h10","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","2.9"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 50 à 60 minutes","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","2.5"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 40 à 50 minutes","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","2.1"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 30 à 40 minutes","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","1.8"
"134","Parking ouvrage Médiathèque","Tarifs 2015","01/01/2015","Tarif individuel","Tarif de 20 à 30 minutes","Les tarifs sont valables tous les jours de 8h à 19h. Les tarifs marqués avec une * sont valables tous les jours de 19h à 8h.","1.3"
